PLAYER NAME,AVERAGE SG:OTT,AVERAGE SG:PUTTING,GREENS %,GIR% - AVG%,TOTAL SG:PUTTING,TOTAL SG:OTT,PREDICTIVE SCORE
Arjun Atwal,-0.315,-0.5479999999999999,66.49,-0.3746047393364993,-2.1919999999999997,-1.26,-2.881604739336499
Erik van Rooyen,0.341,-0.289,64.05,-2.1314047393364977,-1.156,1.364,-2.946404739336497
Charl Schwartzel,-0.257,0.319,61.44,-4.0106047393364985,1.276,-1.028,-2.991604739336499
Keegan Bradley,0.187,-0.649,66.15,-0.6194047393364883,-2.596,0.748,-3.0284047393364886
John Senden,-0.92,-0.003,63.98,-2.1818047393365,-0.012,-3.68,-3.1138047393365
C.T. Pan,-0.258,-0.767,67.26,0.1797952606635116,-3.068,-1.032,-3.1462047393364885
Tyler McCumber,0.215,-0.7509999999999999,66.25,-0.5474047393364962,-3.0039999999999996,0.86,-3.336404739336496
Rob Oppenheim,-0.282,-0.499,65.21,-1.2962047393365017,-1.996,-1.128,-3.5742047393365017
Jordan Spieth,-0.264,0.055,62.04,-3.578604739336498,0.22,-1.056,-3.6226047393364977
Justin Rose,0.18600000000000003,0.02,61.6,-3.8954047393364952,0.08,0.7440000000000001,-3.629404739336495
Graeme McDowell,-0.58,-0.161,63.53,-2.5058047393364964,-0.644,-2.32,-3.7298047393364966
Nelson Ledesma,-0.7040000000000001,-0.062,62.64,-3.1466047393364978,-0.248,-2.8160000000000003,-4.098604739336498
Luke Donald,-1.015,0.209,61.44,-4.0106047393364985,0.836,-4.06,-4.189604739336499
Matt Every,-0.335,-0.636,65.06,-1.4042047393364898,-2.544,-1.34,-4.28320473933649
Kevin Tway,-0.42200000000000004,-0.349,62.62,-3.161004739336496,-1.396,-1.6880000000000002,-4.979004739336496
Bo Van Pelt,-0.568,-0.7829999999999999,65.12,-1.3610047393364946,-3.1319999999999997,-2.272,-5.061004739336494
Grayson Murray,0.16399999999999998,-0.77,63.89,-2.246604739336493,-3.08,0.6559999999999999,-5.162604739336493
Jimmy Walker,-0.909,-0.349,62.2,-3.463404739336495,-1.396,-3.636,-5.768404739336495
Steve Stricker,-0.32899999999999996,0.107,58.33,-6.2498047393365,0.428,-1.3159999999999998,-6.1508047393364995
Jazz Janewattananond,-0.25,-0.8,62.04,-3.578604739336498,-3.2,-1.0,-7.028604739336498
Rafael Campos,-0.156,-0.938,61.88,-3.6938047393364934,-3.752,-0.624,-7.601804739336493
Satoshi Kodaira,-0.5329999999999999,-0.9940000000000001,61.29,-4.118604739336495,-3.9760000000000004,-2.1319999999999997,-8.627604739336494
Martin Trainer,-0.76,-0.325,52.05,-10.771404739336496,-1.3,-3.04,-12.831404739336497
